COURSE,DEPARTMENT,COURSE ID,CLASS NBR,TOTAL ENROLLMENT,GSAS,HCOL,NONDGR,VUS,XREG
BIOPHYS  325,BIPH,125776,13592,2,2,,,,
BIOPHYS  339,BIPH,127688,14143,2,2,,,,
BIOPHYS  368,BIPH,115668,12603,2,2,,,,
BIOPHYS  376,BIPH,116572,12073,2,1,,,,1
BIOPHYS  302,BIPH,123175,13700,1,1,,,,
BIOPHYS  307,BIPH,122047,13346,1,1,,,,
BIOPHYS  313,BIPH,124781,13406,1,1,,,,
BIOPHYS  323,BIPH,127669,14136,1,1,,,,
BIOPHYS  329,BIPH,113921,14065,1,1,,,,
BIOPHYS  335,BIPH,127686,14141,1,1,,,,
BIOPHYS  338,BIPH,127687,14142,1,1,,,,
BIOPHYS  369,BIPH,115669,12605,1,1,,,,
BIOPHYS  375,BIPH,115676,11999,1,1,,,,
BIOPHYS  381,BIPH,116577,12080,1,1,,,,
BIOPHYS  386,BIPH,118091,12641,1,1,,,,
BIOSTAT  245,BIST,119850,14733,18,18,,,,
BIOSTAT  244,BIST,119849,13046,11,11,,,,
BIOSTAT  251,BIST,119855,13050,11,11,,,,
BIOSTAT  231,BIST,119845,13043,10,10,,,,
BIOSTAT  233,BIST,119847,13045,10,10,,,,
BIOSTAT  297,BIST,126944,13796,10,10,,,,
BIOSTAT  298,BIST,126946,14462,9,7,,,,2
BIOSTAT  238,BIST,125262,16192,8,8,,,,
BIOSTAT  234,BIST,160641,16279,6,6,,,,
BIOSTAT  350,BIST,119866,16204,6,6,,,,
BIOSTAT  350,BIST,119866,16212,6,6,,,,
BIOSTAT  350,BIST,119866,16200,4,4,,,,
BIOSTAT  312,BIST,119862,16282,3,3,,,,
BIOSTAT  350,BIST,119866,16211,3,3,,,,
BIOSTAT  350,BIST,119866,13055,2,2,,,,
BIOSTAT  350,BIST,119866,16196,2,2,,,,
BIOSTAT  350,BIST,119866,16197,2,2,,,,
BIOSTAT  350,BIST,119866,16202,2,2,,,,
BIOSTAT  350,BIST,119866,16208,2,2,,,,
BIOSTAT  350,BIST,119866,16194,1,1,,,,
BIOSTAT  350,BIST,119866,16195,1,1,,,,
BIOSTAT  350,BIST,119866,16199,1,1,,,,
BIOSTAT  350,BIST,119866,16201,1,1,,,,
BIOSTAT  350,BIST,119866,16205,1,1,,,,
BIOSTAT  350,BIST,119866,16206,1,1,,,,
BIOSTAT  350,BIST,119866,16207,1,1,,,,
BIOSTAT  350,BIST,119866,16209,1,1,,,,
BIOSTAT  350,BIST,119866,16210,1,1,,,,
BIOSTAT  350,BIST,119866,16213,1,1,,,,
BIOSTAT  350,BIST,119866,19470,1,1,,,,
BE  125,BME,121282,16013,26,,26,,,
BE  191,BME,110020,10724,22,1,21,,,
BE  130,BME,122341,17080,4,,3,,,1
BE   91R,BME,108926,11493,2,,2,,,
BSDM  300,BSDM,117895,12430,2,2,,,,
BPH  306QC,BSPH,127603,14118,6,5,,,,1
BPH  201R,BSPH,126402,13992,5,5,,,,
BPH  375,BSPH,121279,13485,5,5,,,,
BPH  210,BSPH,112431,16221,4,,1,,,3
BPH  376,BSPH,123059,13449,4,4,,,,
BPH  345,BSPH,112714,10199,3,3,,,,
BPH  374,BSPH,121278,13482,3,3,,,,
BPH  384,BSPH,109266,11841,3,3,,,,
BPH  315,BSPH,131484,10276,2,2,,,,
BPH  319,BSPH,123667,13025,2,2,,,,
BPH  319QC,BSPH,156653,11625,2,2,,,,
BPH  323,BSPH,116391,12465,2,2,,,,
BPH  365,BSPH,116290,12353,2,2,,,,
BPH  372,BSPH,120257,13519,2,2,,,,
BPH  377,BSPH,126513,14088,2,2,,,,
BPH  386,BSPH,109268,11844,2,2,,,,
BPH  388,BSPH,109362,10189,2,2,,,,
BPH  326,BSPH,159945,18536,1,1,,,,
BPH  334,BSPH,112702,10167,1,1,,,,
BPH  339,BSPH,112707,10187,1,1,,,,
BPH  357,BSPH,112726,10229,1,1,,,,
BPH  358,BSPH,112727,10231,1,1,,,,
BPH  379,BSPH,127158,13891,1,1,,,,
BPH  380,BSPH,127157,13889,1,1,,,,
BPH  381,BSPH,127512,14046,1,1,,,,
BPH  382,BSPH,107908,10441,1,1,,,,
BPH  385,BSPH,109267,11842,1,1,,,,
BPH  391,BSPH,160461,16917,1,1,,,,
CELTIC  138,CELT,118671,12292,10,1,8,,,1
CELTIC  105,CELT,160495,15731,9,,9,,,
CELTIC  184,CELT,111284,15730,9,1,8,,,
IRISH  201R,CELT,117752,12203,5,5,,,,
CELTIC  305,CELT,113390,11946,3,3,,,,
IRISH  133R,CELT,119063,12677,3,1,2,,,
WELSH  227,CELT,111774,11913,3,3,,,,
WELSH  129R,CELT,114118,11993,2,1,1,,,
CELTIC   91R,CELT,110646,10288,1,,1,,,
CELTIC  188,CELT,125945,15802,1,,1,,,
